Author,Content,Rating,Date
Mr. W!seguy,(SCAM)THIS APP IS ONLY AND ALL SUGGESTED INAPPROPRIATE GARBAGE AND ADVERTISEMENTS NO FRIENDS OR FAMILY CONTENT CAN BE SEEN!(SCAM),1,2025-01-01
John ver Jose,great apps for communication and lets talk,5,2025-01-01
Prasanta Bhattacharya,Not working on Android 10,1,2025-01-01
Ashok Parmar,world best' application life is changed,5,2025-01-01
Md Fahim,good,5,2025-01-01
Zahid Khan,Good,5,2025-01-01
Upendra Kumar,"I//%76 *3**6 8/io,ozz7%7,",1,2025-01-01
Chidi Nnawuihe,this is literal breach of privacy wth,1,2025-01-01
Maxamed cabdi Maxamed,Is the best app,5,2025-01-01
Kumar rakesh,very nice 🙏🏻🙏🏻🙏🏻,5,2025-01-01
Ana Sheena Villares,Update,5,2025-01-01
MD Sahabuddin Nice,😭😭😭😭,5,2025-01-01
Raheem Ahmed,good Apps 👍,4,2025-01-01
Vinay Mandal,Mera story nahin chal raha hai sardar Sahi kar dijiye,5,2025-01-01
Rainbow gaming,👍🏼,5,2025-01-01
Sujon Islam,Nice,5,2025-01-01
koshish sfnevermore,Resultl,5,2025-01-01
ABDUL WAHEED,Good 👍,1,2025-01-01
Priya a Priya,useful and fun,3,2025-01-01
Atikur Hasan,Fine,5,2025-01-01
Ranu Moran,Abhishek Duoarar Rdpqmsssa,5,2025-01-01
SHUKURULLAH SK,Probls,5,2025-01-01
SK Ibrahim Islan,🥰🥰🥰,5,2025-01-01
Md Malek mulla,্সিসু।ুিিওেসককাুাসকুসেলসিুকসলজূাসসহাক#৬স,2,2025-01-01
Nahid Vay,Awesome Apps 🥰,5,2025-01-01
Seth Sappington,this platform used to be great but anymore they censor your 1st amendment right and God forbid you try selling a 100yr old empty wooden crate that says atlas explosives on it you'll go to fb jail,3,2025-01-01
Mubarik Khan,Aayankhan,5,2025-01-01
Abhijeet Kumar,Whatever ads appear on the screen should be closed immediately. Thank you.,2,2025-01-01
Anurag Aidee,Very good fb,5,2025-01-01
