author,content,rating,date
Kursten,"I've used Instagram since it started up and had little to no issues. Until recently. I cannot edit photos without them going black after going into a couple of them. It's even worse if I try to upload more than 10. The actual photo editing portion is awful now as well. What is the point of having to go into one setting, then going right back to the start? It was much easier when all the options were there when you finished one adjustment.",2.0,2024-12-26T16:16:04Z
Amanda Maldonado,"Idk what's going on, but the latest update is super buggy. I'm frustrated. I have to back out multiple times just to edit a photo and start over several times. The filters sometimes don't pop up, and then the menu gets stuck, and I have to close the app and start over. I also hate the new setup for the edit buttons. Each edit for brightness or contrast other similar settings you make it sends you back to menu. I miss the old way. It was definitely easier to edit posts. Fix it meta. Dislike 👎",1.0,2024-12-26T06:21:08Z
MVS Productions,"After the security system updates, if you lose your account, you probably won't be able to recover it. The verification methods are missing, so why not simple methods? Facial validation! This year I lost two old and valuable accounts, thanks to security problems, now I can't use them because of the difficulty in letting me log in, even though my email is linked, anyway, disappointing.",1.0,2024-12-25T14:41:41Z
Valerie Sheets,"I've been working on editing a reel for a few days—it's my 2024 year in review. I edit a bit, save as a draft, and come back to it. Since late last night, when I go to edit the reel, my editor area opens, freezes, and either kicks me out of the draft or kicks me out of the app completely. I've cleared my cache, I have the most recent app update, restarted my phone, checked to make sure my phone's overall storage has room, have a good connection. Please fix this.",3.0,2024-12-29T14:25:43Z
Trevor Ekin,"I know how to swipe. Stop doing your little partial auto swipe when I'm looking at a reel, yes, I know that's how I get to the next dang reel, maybe I'm just trying to watch this one again?? Ever thought of that?? Seriously make this a tutorial feature that only happens once for a new user then NEVER happens again, that's gotta be the most annoying ""feature"" ever.",1.0,2024-12-25T04:02:49Z
Nicole Wood,"Update 12/29/24; Same issues with inability to change photo size. Freezes up constantly. Sometimes I can edit, sometimes not. So glitchy. What is going on? Used to be the best app. Now just frustrating. 12/1/24: The app used to work great, now multi photos post only in square format. Frustrating. I'm hoping it's a glitch that can be fixed soon.",1.0,2024-12-29T15:45:32Z
Thomas Durdella,"Update: Each update fixes one thing, but breaks something else. As others are mentioning, the editor keeps showing just a blank box & the locking up. Also my edited photos are no longer saved to my phone. I tried clearing the cache, app data, uninstalling and reinstalling but it didn't help. I can't directly like or comment on a lot of photos, the icons are just non-responsive. There's a fresh UX design flaw too, the new editor menu partially covers the image you're editing.",1.0,2024-12-29T05:13:57Z
Keana Lavea,"Every since I had a software update, I haven't been able to use more than 10 photos and videos to make a reel like I used to. There's no option for me in the settings to change it back. Everytime I try to make a new reel it says I'm limited to only 10 photos BUT I've always been able to choose 50 photos and videos. This has been so frustrating for almost 2 months now.",1.0,2024-12-16T21:26:42Z
Shadowhasajeffy TMV,"This newest update screwed up IG to new heights. In the past decade, the app hasn't been great, and every update seems to bring new issues that take ages to get corrected, if they ever do. After the newest update however, you can't even hardly create a post. Trying to edit photos in app just causes it to freeze. I've tried uninstalling and reinstalling a couple times, but it changes nothing. Shame the social app I use more than any other can't even keep itself together",1.0,2024-12-26T15:28:10Z
Adriane Hughes,"I like using this for social, but trying to grow an account is very damaging to mental health due to the stress and volume of hoops you have to jump through. Also the app just randomly breaks a lot which isn't great. Just features stop working or they add new features that are broken. Also don't get me started on the AI scraping that we in the US weren't able to opt out of. There are a lot of problems.",2.0,2024-12-23T14:17:18Z
