author,content,rating,date
Tyler Amato,"As I was messaging on a friend's story, suddenly the app itself closed on me. And when I went to go re-open the app, the initial yellow loading screen that appears for a second after clicking the app, opens and closes immediately. I tried completely closing the app as well as resetting my phone, and the same problem still occurs. Also, I have the most recent version. And no new updates. Still can't identify the issue.",2.0,2024-12-10T07:31:59Z
Jake Zollin,"This app peaked around 2016-2018. Today it is a shell of what it used to be. The voice call quality is awful no matter how new or old your device is. The app can't send a video in full unless I sit there and watch it send. I have the app set to still run in the background, so it's not a setting on my phone I need to change. It's just that incompetent. The ads on here are awful too. All of the content this app offers is total slop. Specifically the Discovery page. Overexaggerated click bait slop!",1.0,2024-12-31T16:32:31Z
Kyle Brooks,"The app does what it has always done and does it well. A lot has changed since it came out. However, the discover stuff that appears underneath your friends' stories becomes more and more insufferable every day. From pseudoscientific videos to outright softcore po**, I get their ""creators"" have to appeal to the lowest denominator, but a sizeable majority of them are borderline braindead. I don't want to see this garbage. The algorithm then refuses to follow your suggestions.",2.0,2024-12-25T15:30:00Z
Quentin Harris,"I enjoy the app, and use it to text several people that I know of including my wife and kid. My only issue is that whenever I click on something whether it be the transcript for a voice note, or just something completely random like a specific chat with a person, every now and again it'll just open up some random link and won't let me click on whatever it is I'm trying to click on. This needs to get fixed, it is infuriating. I'll rate five stars if it gets fixed but for now it's seriously bad",3.0,2024-12-27T18:39:42Z
Tom Burton,"Becoming ridden with ads, ai, and people I have no interest in seeing. App has started forcing stories from people I don't know into the mix with friends stories. I keep getting notifications about people I've never heard of posting. In addition regular when I try to put text on a snap it puts it below where my screen can show, and there's no way to fix it aside from taking a whole new picture and trying with different text. Awful, awful, user experience lately.",1.0,2024-12-30T19:58:27Z
ᴀʜᴏʏɪᴛsᴛᴇᴅ,"Delayed notifications (sometimes by hours), chats not opening when clicked, and chat screens showing up blank refusing to load messages. These are just a few problems among many with Snapchat lately. This app has steadily gone down hill as it seems to come out with new bugs more than new features. If someone sends me a snap sometimes it will buffer indefinitely until I close out and open the chats (80% of the time I'll click on the chats they won't open and if they do the screen is blank). 2/10.",2.0,2024-12-26T12:38:39Z
Garrett Randall,"Used to be a great app but lately it's gone downhill, half of it is just ads along with constant annoying attempts to get you to buy snapchat premium. Some settings seemingly just don't work, for instance, notifications and the block option. I've turned off story notifications and still got them, so I turned off notifications completely. I've tried to block accounts that I don't want snap stories from, but they still show up every time I refresh it. I've reported both issues with no response.",1.0,2024-12-30T09:07:53Z
Joshua Loper,"great app. easy, simple, rewarding, honest, accessible, to the point, fair for users, no pressure just a better experience for a phone. now I just need more friends! :) 😉 recommended even without a lot of friends. good for young audience that just want to see results from a phone. enter: the non phone Snapchat! just kidding.",5.0,2024-12-19T19:25:47Z
Aliza Weremblewski,"Ever since the last update, ads have been glitching and playing while I am watching content. It completely takes over the audio of the video I'm currently watching and plays in the background before the ad even starts. Sometimes, the audio for the ad will continue to play even after the ad is over completely ruining the experience of the app.",2.0,2024-12-14T21:40:30Z
Matt B,"Update : they now send audible ad notifications to you you can't turn off without disabling all notifications from the app. I'm uninstalling this trash. Buggy, crashes constantly, blocks users with rooted phones from using it for no good reason. The developers spend more time adding useless fluff to the app instead of trying to make this turd of an app stable.",1.0,2024-12-30T22:57:39Z
E,"Steady decline I just updated to the latest version hoping it would correct the ads playing over snaps but it doesnt, even when the app is in the background the audio continues. As far as privacy, why are you showing me random photos from my phones camera roll. This feature should only be limited to snap memories. The number of ads that play between the reels is insane. I would much rather just see a 30 sec add then get to see the reel that to continuously break it up into random blocks.",2.0,2024-12-18T21:25:00Z
